title,text_list,tag_list,url
Sinoptik: У вівторок 23 квітня на Черкащині буде ясно," 23 квітня у Черкаській області буде без опадів., У ,, ,, ,, ,, ,, ,, ,, ,, ,, , вдень ненадовго небо стане ясним, але вже ближче до вечора його знову окупують ранкові хмари., Заморозки у повітрі до 1 градусу морозу., Температура повітря вночі становитиме +7…+8 градусів, удень стовпчик термометра підніметься до +15…+17 градусів., Вітер північно-східний, східний 2–3 м/с., Як повідомляв сайт vikka.ua, черкаські сквери , до Великодня., ","#ВІККА,#новини,#Черкащина,#погода",https://www.vikka.ua/novini/sinoptik-u-vivtorok-23-kvitnya-na-cherkashhini-bude-yasno/
Копачі могил викинули покійницю з поховання на Черкащині," У Колодистому Тальнівського району копачі могил викинули покійницю з поховання. Інцидент стався ще наприкінці зими. Втім, відомо про нього стало лише нещодавно, пишуть "",""., ""Там було зайняте місце – насипаний горбок і штучні квіти встромлені. У нас на кладовищі багато-хто таке практикує, – розповідає місцева жителька. – Копачі, яких найняла родина копати яму, наткнулися на поховання. Нікому про це не сказали, а викинули їх у сторону. Коли сніг зійшов, випадково побачили незахоронені людські кістки""., Працівника кладовища у селі нема. Сільський голова Олексій Сарана про інцидент не знав., ""Мені зателефонував депутат і каже: ""Дмитрович, там на кладовищі кості валяються"". Я зібрав копачів, почав розпитувати і аж тоді вони призналися в скоєному"", – коментує сільський голова., Посадовець змусив винуватців викопати ще одну яму. Після чого, спільно із священиком, небіжчицю перепоховали за християнським звичаєм., За скоєне передбачається кримінальна відповідальність за статтею 297 (наруга над могилою) Кримінального кодексу України., Як повідомляв сайт vikka.ua, у Черкасах ,могили на цвинтарі., ","#ВІККА,#новини,#Черкащина,#цвинтар",https://www.vikka.ua/novini/kopachi-mogil-vikinuli-pokijnicyu-z-poxovannya-na-cherkashhini/
Водій під час руху в Черкасах втратив свідомість та врізався у дерево (ФОТО)," У Черкасах на вулиці Грушевського сталася дорожньо-транспортна пригода із потерпілими. Про це повідомляє речниця патрульної поліції Черкаської області Зоя Вовк., Правоохоронці, котрі прибули на місце події, встановили, що водій автомобіля не впорався із керуванням та врізався у дерево, що стояло на узбіччі. Чоловік 1979 року народження розповів, що хворіє на цукровий діабет, під час руху він втратив свідомість, внаслідок чого і сталася ДТП., Під час пригоди в салоні машини перебувала мати водія. Жінці 1940 року народження внаслідок удару затисло ногу. Рятувальники, котрі також прибули на місце події, звільнили потерпілу із автівки. Пізніше її госпіталізували до лікарні., Як повідомляв сайт vikka.ua, на Черкащині , потрійна ДТП., ,  ","#Черкаси,#ВІККА,#новини,#ДТП",https://www.vikka.ua/novini/vodij-pid-chas-ruxu-v-cherkasax-vtrativ-svidomist-ta-vrizavsya-u-derevo-foto/
"Рабинович: Президент має бути Гарантом Конституції, а не відмовчуватись, коли її ґвалтують і скасовують","Новообраний президент країни перш за все повинен стежити за виконанням положень Основного закону і пам'ятати, що Україна – парламентсько-президентська республіка, де президент має обмежені повноваження. Про це заявив народний депутат України і голова партії ""Опозиційна платформа – За життя"" в прямому ефірі програми ""Пульс"" на телеканалі ""112 Україна"".,""Навіть якщо Володимир Зеленський стане президентом, то у нього не вийде швидко змінити ситуацію в країні на краще, тому що повноваження президента обмежені Конституцією. В Основному законі написано, що президент України може призначити міністра оборони, главу МЗС, секретаря РНБО, генерального прокурора, голову СБУ та голову Нацбанку. І то – не без допомоги парламенту! Президент не має відношення до економіки, що не приватизує банки, він – гарант Конституції. Гарантом же можна назвати того, хто стежить за виконанням ""закону номер один"", – підкреслив політик.,Парламентарій нагадав, що чинний глава держави ""відмовчується"" і в разі, пов'язаному з відсутністю більшості в парламенті, і в разі, пов'язаному з його бізнес-партнером і екс першим заступником секретаря РНБО Гладковського Свинарчуком.,""Виходячи з положень ""закону номер один"" країною править парламентська більшість – 226 депутатів. Але фактично адже коаліції – немає! Я кілька разів просив спікера Верховної Ради Андрія Парубія надати список парламентаріїв, які входять до більшості, в міфічну коаліцію, на що він відповів: ""не маю повноважень!"". Глава парламенту не має повноважень дати народному депутату список народних обранців, які входять в більшість, яка править країною? Це – сюрреалізм! І президент знову не заступився за Конституцію!.. Петро Порошенко днями сказав, що більше не буде призначати друзів на ключові пости в державі. Нагадаю, що ми чотири роки вже платимо військовий збір, який йде в загальну скарбницю. Потім друзі президента – Свинарчук – за завищеними цінами закуповують деталі для військової техніки з цієї ж скарбниці"", – обурився Вадим Рабинович.,Глава партії ""Опозиційна платформа – За життя"" також вважає, що новообраному президенту слід ініціювати перепис населення в країні, щоб ""розуміти, як управляти господарством"".,""Щоб годувати сім'ю треба зрозуміти, скільки людина в родині. Якщо у людини двоє дітей, то він купує одне кількість продуктів, якщо четверо – інше. Так і в державі! Згідно із законом України у нас регулярно повинна проводитися перепис населення. Ми ж проводили її в останній раз в 2001 році. Тобто ми поняття не маємо, скільки людей живе в країні! Яке право влада має виписувати будь-яке кількість бюлетенів, якщо вона не вважала за кількість померлих, які виїхали і так далі? Ми – єдина країна в світі, в якій нікого не цікавить кількість жителів. Це, як і війна на Донбасі: просто комусь вигідно, щоб вона тривала нескінченно! Звідси і всі проблеми при складанні бюджету, тому що при його формуванні влада ""на око"" міряє і кількість пенсіонерів, між якими нібито будуть розподіляти гроші з пенсійного фонду. А може, пенсіонерів вже набагато менше взагалі?"" – підкреслив народний депутат.,Політик упевнений, що після 2001 року влада боялася сказати кількість проживаючих в країні людей, тому що українці і світове співтовариство ""жахнуться від отриманих результатів перепису"".,""Нам потрібно зрозуміти, скільки людей живе в країні, щоб розуміти як управляти країною, формувати бюджети. Але влада боїться цього, тому що знає, що перепис покаже катастрофічну ситуацію. На сьогоднішній день існує лише одна статистика за кількістю жителів в Україні – це дані ООН, яка розраховує чисельність населення за рівнем споживання хліба. За даними ООН, нас проживає в Україні близько 25 мільйонів! .. Всього лише! .. Упевнений, нова влада, яка хоче будувати, а не грабувати, зобов'язана провести перепис населення! "", – резюмував Вадим Рабинович.",,https://www.vikka.ua/novini-na-vikka/politichni-novini/rabinovich-prezident-maye-buti-garantom-konstituci%d1%97-a-ne-vidmovchuvatis-koli-%d1%97%d1%97-%d2%91valtuyut-i-skasovuyut/
Школярі із Черкащини прибрали сміття в заповідній зоні," З нагоди Дня довкілля у Шполянському лісництві провели акцію з прибирання від сміття заповідного лісового урочища ""Дар’ївське"". Учасниками ""чистої акції"" стали учні комунального закладу ""Шполянська загальноосвітня санаторна школа-інтернат Черкаської обласної ради"". Про це повідомляє , Черкаського обласного управління лісового та мисливського господарства., Урочище ""Дар’ївське"" – улюблене місце відпочинку жителів Шполи, оскільки розташоване біля міста і створювалось спочатку як парк. До сьогодні в урочищі ростуть 150-200-річні дуби. Однак, відпочиваючи, люди залишають усе сміття на території лісу, вивозять туди і побутові та будівельні відходи., , Шполянська школа-інтернат межує з цим лісом, заклад постійно співпрацює зі Шполянським лісництвом, беруть участь у різних акціях по збереженню довкілля. Шполянські лісівники за таке дбайливе ставлення до лісу пригостили кожного юного учасника солодким подарунком, а для школи подарували шість футбольних м`ячів., , Як повідомляв сайт vikka.ua, про нічні заморозки , черкащан., ,  ","#ВІККА,#новини,#Черкащина,#порятунок лісів",https://www.vikka.ua/novini/shkolyari-iz-cherkashhini-pribrali-smittya-v-zapovidnij-zoni/
"""Черкаські Мавпи-05"" завершили сезон ВЮБЛ на стадії чвертьфіналу (ФОТО)"," Підопічні Василя Івлєва ""Черкаські Мавпи-05"" припинили боротьбу у чвертьфіналі чемпіонату України. Про це інформує , БК., Матч-відповідь 1/4 фіналу Всеукраїнської юнацької баскетбольної ліги України приймали Черкаси. Місцеві юнаки 2005-го року народження грали із командою ЗОДЮСШ (Ужгород). У другому матчі черкасці мали небагато шансів на вихід до півфіналу, оскільки все вирішила виїзна гра, коли ""Мавпи"" поступилися суперникові у 40 очок., Як підсумок, ""Мавпам"" необхідно було відігравати це відставання. Чого зробити не вдалося. У Черкасах пройшов рівний матч із обопільними змінами лідера, однак команда із Західної України зуміла здобути мінімальну перемогу та путівку до півфіналу. Тоді як ""Черкаські Мавпи-05"" завершили сезон., , ""Провалили матч в Ужгороді, коли не забили багато своїх м’ячів. Після такої гри зараз було вже важко. Втім провели хороший матч. Ми виходили вперед, Ужгород лідирував – ми наздоганяли. Була хороша рівна гра із якісною боротьбою. В кінцівці суперник зумів отримати мінімальне лідерство і перемогти. В цілому мені сподобався цей сезон. У порівнянні з минулим роком ми стали грати значно краще. Того року ми посіли 6-те місце, зараз 5-8-ме. Різниці немає, але по якості гри ми піднялися на щабель вище. Ми поступаємося по об’єктивним причинам. Нашим високим гравцям не вистачає антропометричних даних, сподіваюся, що наші гравці за літо підростуть на сантиметрів 10 і тоді ми зможемо чинити гідний опір суперникам. Бо зараз наші бігмени програють своїм суперникам єдиноборства. Ми граємо за рахунок задньої лінії. Як тільки ми додамо в антропометрії – зробимо значний крок уперед"", – каже головний тренер ""Черкаських Мавп-05"" Василь Івлєв., Як повідомляв сайт vikka.ua, група підтримки ""Черкаських Мавп"" , чирлідингу., ","#ВІККА,#новини,#Черкаські Мавпи",https://www.vikka.ua/novini/cherkaski-mavpi-05-zavershili-sezon-vyubl-na-stadi%d1%97-chvertfinalu-foto/
Під час ДТП у Черкасах постраждала 18-річна дівчина (ФОТО)," Увечері 20 квітня на проспекті Хіміків у Черкасах сталась ДТП за участі ""Mazda"" та ""Mercedes Sprinter"". Останній автомобіль зник з місця події. Про це інформує прес-служба УПП у Черкаській області., 18-річна дівчина, пасажир автомобіля ""Mazda"", була травмована та доставлена до 3-ї міської лікарні., Справою по ДТП з постраждалими займаються слідчі Черкаського відділу поліції., Як повідомляв сайт vikka.ua, у Черкасах , пішохода., ","#Черкаси,#ВІККА,#новини,#ДТП",https://www.vikka.ua/novini/pid-chas-dtp-u-cherkasax-postrazhdala-18-richna-divchina-foto/
Головною вулицею Черкас на півдня обмежать рух електротранспорту," 22 квітня по бульвару Шевченка буде відсутній рух електротранспорту від вул. Святотроїцька до санаторію ""Україна"". Про це у Facebook повідомив директор комунального підприємства ""Черкасиелектротранс"" Петро Кучер., Тролейбуси №1, №1а, №7, №7а, №3 будуть працювати до зупинки ""Площа Соборна""., Обмеження діятимуть у зв’язку з ремонтом асфальтного покриття., , Як повідомляв сайт vikka.ua, у Черкасах , пішохода., ","#ВІККА,#новини,#черкащанка,#обмеження руху",https://www.vikka.ua/novini/golovnoyu-vuliceyu-cherkas-na-pivdnya-obmezhat-rux-elektrotransportu/
За вихідні на Черкащині знайшли два боєприпаси (ФОТО)," Протягом вихідних у Кам’янському районі місцеві жителі знайшли два боєприпаси часів минулих війн. Про це повідомляє прес-служба управління ДСНС України в Черкаській області., Так, 20 квітня сапери знищили авіаційну бомбу, яку напередодні в селі Баландине, Кам1янського району виявили місцеві жителі., Наступного дня піротехніки вилучили мінометну міну калібром 82 мм, яку виявив житель хутору Калинівка, коли виконував польові роботи., Всього, у цьому році в області були знайдені та знищені вже 157 боєприпасів часів минулих війн., , , , Як повідомляв сайт vikka.ua, шість боєприпасів , на Черкащині., ,  ","#ВІККА,#новини,#Черкащина,#боєприпаси",https://www.vikka.ua/novini/za-vixidni-na-cherkashhini-znajshli-dva-boyepripasi-foto/
Активісти прибрали сміття із узбіч на Черкащині (ФОТО)," У Лисянському лісгоспі до Дня довкілля працівники підприємства та активісти прибрали узлісся понад трасою. Про це повідомляє , Черкаського обласного управління лісового та мисливського господарства., Лісівники Стеблівського лісництва долучитись до акції ""За чисте довкілля"". Заходи з прибирання лісових масивів підтримали не лише працівники лісництва, а й небайдужі представники громади Стеблівської ОТГ та студенти Корсунь-Шевченківського коледжу., , Під керівництвом лісничого Стеблівського лісництва Олександра Паламаренка було проведено прибирання, а також підрізку нижнього гілля дерев узлісся у кварталі 16, яке безпосередньо прилягає до автодороги Лисянка – Корсунь-Шевченківський. Протягом дня активісни назбирали ""ГАЗон"" сміття та різного непотребу., , , Як повідомляв сайт vikka.ua, школярі із Черкащини , сміття в заповідній зоні., ,  ","#ВІККА,#новини,#Черкащина,#прибирання",https://www.vikka.ua/novini/aktivisti-pribrali-smittya-iz-uzbich-na-cherkashhini-foto/
