by,id,score,time,title,type,url
hmahallati,30106601,1,1643317208,"Hyperseed (YC S21), no-code for finance pros, is hiring a front-end engineer",job,https://www.ycombinator.com/companies/hyperseed/jobs/18szLSd-front-end-engineer-for-the-no-code-platform-for-finance-professionals
suhail,30102970,1,1643302866,Mighty (YC S19) Is Hiring a Windows Software Engineer,job,https://www.notion.so/Mighty-is-hiring-945d3168d3e34a37883ca4d823ed734f
dolftax,30099449,1,1643284838,DeepSource is looking for a developer advocate (Remote within US),job,https://boards.greenhouse.io/deepsource/jobs/4289079004
awalias,30094561,1,1643245238,Supabase (YC S20) Is Hiring Senior Auth Engineers,job,https://about.supabase.com/careers/auth-engineers
josephcohen,30091767,1,1643230829,Universe (YC W18) Is Hiring Product Leads for Creation and Commerce Tools,job,https://workatuniverse.com/product
jaz46,30088080,1,1643216426,Pachyderm (YC W15) is hiring data science bloggers,job,https://www.pachyderm.com/careers/#positions
ryankicks,30084492,1,1643198406,YC's software team is looking for a full stack engineer,job,https://www.ycombinator.com/companies/y-combinator/jobs/7D3drHl-product-engineer
abhikp,30082628,1,1643180457,Ashby (YC W19) hiring engineers who want to own product,job,https://jobs.ashbyhq.com/Ashby?utm_source=hn
ethanyu94,30077948,1,1643144456,Motion (YC W20) is hiring full stack and back end engineers,job,https://jobs.ashbyhq.com/motion
Yertis,30074329,1,1643130047,Ribbon Health (YC S17) hiring values-driven Engineers to help patients find care,job,https://www.ribbonhealth.com/blog/how-ribbons-value-driven-tech-philosophy-helps-patients-find-care/
brennanm,30070843,1,1643112025,Hypercontext (YC S21) is hiring a SwiftUI developer,job,https://www.ycombinator.com/companies/hypercontext/jobs/kVsnSnv-software-engineer-swift-ui-macos
ilianam,30063960,1,1643058005,Manara (YC W21) hiring full-stack engineers and designer (remote),job,http://www.manara.tech/careers
rrwhite,30060383,1,1643043601,Fathom (YC W21) is hiring our first Product Analyst (remote),job,https://www.ycombinator.com/companies/fathom/jobs/s1QdG0L-product-analyst-remote
mkong1,30056568,1,1643025645,GiveCampus (YC S15) hiring Sr engineers to increase accessibility to education,job,https://jobs.lever.co/givecampus/44af3199-546a-404a-95fd-a097ef37e915
slederer,30054426,1,1643007670,Bitmovin (YC S15) Is Hiring Software Engineers in Support in EMEA,job,https://bitmovin.com/careers/5617278002?gh_jid=5617278002
piyushnarwani,30052379,1,1642986022,Aerotime (YC W21) Is Hiring,job,https://www.ycombinator.com/companies/aerotime/jobs/HxfTJyw-founding-engineer-front-end
aglazer,30050398,1,1642971616,DevCycle (YC W14) is rebuilding feature flags from the ground up – come join us,job,https://devcycle.com/company/careers
ympatel,30047781,1,1642957212,Legion Health (YC S21) Is Hiring a Clinician Operations Lead,job,https://www.ycombinator.com/companies/legion-health/jobs/Vc1e3ii-clinical-operations-lead
amasad,30045549,1,1642939266,Replit (YC W18) is hiring engineers to make delightful programming environments,job,https://replit.com/careers
FabioFleitas,30040767,1,1642885231,Tesorio (YC S15) is hiring a Senior DevOps to join our fully distributed team,job,https://www.tesorio.com/careers#job-openings
vinayak147,30038446,1,1642870830,Zendar (YC S17) Is Hiring a Platform Engineering Manager,job,https://zendar.breezy.hr/p/a5536887620f
michaelotis,30035919,1,1642852804,Procoto (YC W21) Is Hiring Front End Engineers,job,https://www.ycombinator.com/companies/procoto/jobs/SGo548h-front-end-engineer
amckenzie,30029935,1,1642798865,Rescale (YC W12) Is Hiring Software Engineers,job,https://jobs.lever.co/rescale/57b5bc81-ee75-4a30-a763-3eb8dd595165?lever-origin=applied&lever-source%5B%5D=Hacker%20News
cstanley,30026318,1,1642784462,Basis (YC S21) is hiring devs to refactor the modern data stack,job,https://get-basis.notion.site/Work-at-Basis-07bb5d7502a043b9b861f50ef24b45d8
alexshortt,30022283,1,1642766428,Muse (YC S21) Is Hiring a Head of Web Graphics,job,https://jobs.ashbyhq.com/muse/1e73e735-3c63-4131-a04d-ff3c73f3567e?utm_source=w05n35VEGp
